"data.list.id","title","date.created","rw.url"
"633297","Témoignages des Philippines: quand les soins arrivent par bateau",2014-01-29,"http://reliefweb.int/node/633297"
"633192","EWARN Weekly Summary Report - Post-Typhoon Yolanda Week 10 | Epidemiological Week No. 5 | 12th January to 18th January 2014",2014-01-29,"http://reliefweb.int/node/633192"
"633191","Typhoon Yolanda - Health Cluster Bulletin Issue #12, January 24, 2014",2014-01-29,"http://reliefweb.int/node/633191"
"633181","Philippines on watch for infectious disease outbreaks",2014-01-29,"http://reliefweb.int/node/633181"
"633147","GIEWS Country Brief : Philippines 28-January-2014",1970-01-17,"http://reliefweb.int/node/633147"
"633135","Humanitarian Implementation Plan (HIP) Philippines (ECHO/PHL/BUD/2013/91000) Last update: 24/01/2014 Version 5",2014-01-29,"http://reliefweb.int/node/633135"
"633124","Philippines: Ongoing and Completed CCCM activities as of 28 January 2014",2014-01-29,"http://reliefweb.int/node/633124"
"633063","Philippine leader vows to crush 'spoiler' rebels",2014-01-29,"http://reliefweb.int/node/633063"
"633044","NDRRMC Update SitRep 30 re Effects of Tropical Depression 'Agaton'",2014-01-29,"http://reliefweb.int/node/633044"
"633024","Outlying islands still in need of assistance",2014-01-29,"http://reliefweb.int/node/633024"
"633017","CFIS helps children in earthquake-hit Bohol",2014-01-29,"http://reliefweb.int/node/633017"
"633015","Thousands still lack basic services in typhoon-hit central Philippines",2014-01-29,"http://reliefweb.int/node/633015"
"633334","UNICEF Philippines Typhoon Haiyan Situation Report #18",2014-01-28,"http://reliefweb.int/node/633334"
"632998","Philippines: Typhoon Haiyan Situation Report No. 34 (as of 28 January 2014)",2014-01-28,"http://reliefweb.int/node/632998"
"632906","Philippine calamities in the shadow of Typhoon Haiyan",2014-01-28,"http://reliefweb.int/node/632906"
"632871","Fighting erupts in Philippines as final peace deal nears",2014-01-28,"http://reliefweb.int/node/632871"
"632785","DOH-7 urges parents to avail of gov’t free measles vaccination",2014-01-28,"http://reliefweb.int/node/632785"
"632783","More rebels  embrace  'Kabsatklo Ipategko Program' of Abra",2014-01-28,"http://reliefweb.int/node/632783"
"632782","Relief distribution, cash-for-work for ‘Yolanda’ survivors continue",2014-01-28,"http://reliefweb.int/node/632782"
"632778","Construction of vertical structures to go full swing in Yolanda-hit areas soon",2014-01-28,"http://reliefweb.int/node/632778"
"632761","""It Takes a Long Time for People to Rebuild Their Lives""",2014-01-28,"http://reliefweb.int/node/632761"
"632752","NDRRMC Update SitRep 29 re Effects of Tropical Depression 'Agaton'",2014-01-28,"http://reliefweb.int/node/632752"
"632743","Tech Talk: Using data to coordinate shelter needs in the Philippines",2014-01-27,"http://reliefweb.int/node/632743"
"632726","Philippines: USG Humanitarian Assistance for Typhoon Yolanda/Haiyan (Last Updated 1/24/2014)",2014-01-27,"http://reliefweb.int/node/632726"
"632724","Philippines After Yolanda: Job Well Done, or Work in Progress?",2014-01-27,"http://reliefweb.int/node/632724"
"632672","Philippines: Typhoon Haiyan at a glance - Infographic (Updated) (as of 24 January 2014)",2014-01-27,"http://reliefweb.int/node/632672"
"632579","More aid for southern Philippine conflict zone",2014-01-27,"http://reliefweb.int/node/632579"
"632467","Philippine coconut farmers struggling to recover from typhoon",2014-01-27,"http://reliefweb.int/node/632467"
"632465","Philippines: Poor Households not under 4Ps in Yolanda affected Regions (as of 27 Jan 2014)",2014-01-27,"http://reliefweb.int/node/632465"
"632414","NDRRMC Update SitRep 28 re Effects of Tropical Depression 'Agaton'",2014-01-27,"http://reliefweb.int/node/632414"
"632492","Asia Pacific Region: Weekly Regional Humanitarian Snapshot, 21-27 January, 2014",2014-01-27,"http://reliefweb.int/node/632492"
"632387","Philippine military attacks hardline Muslim renegades",2014-01-27,"http://reliefweb.int/node/632387"
"632308","Keeping childbirth safe in the wake of natural disaster",2014-01-26,"http://reliefweb.int/node/632308"
"632295","Philippines, rebels see final peace deal in weeks",2014-01-26,"http://reliefweb.int/node/632295"
"632287","Ban welcomes signing of Government, rebel accord on southern Philippines",2014-01-26,"http://reliefweb.int/node/632287"
"632415","NDRRMC Update SitRep 27 re Effects of Tropical Depression 'Agaton'",2014-01-26,"http://reliefweb.int/node/632415"
"632264","Statement by EU High Representative Catherine Ashton on the conclusion of the peace negotiations between the government  of the Philippines and the Moro Islamic Liberation Front",2014-01-25,"http://reliefweb.int/node/632264"
"632236","Philippines, Muslim rebels clear last peace deal hurdle",2014-01-25,"http://reliefweb.int/node/632236"
"632220","DepEd reports 1.9M worth of damage due to TD Agaton",2014-01-25,"http://reliefweb.int/node/632220"
"632218","DSWD holds online learning exchange on disaster response with Indonesia",2014-01-25,"http://reliefweb.int/node/632218"
"632206","Typhoon Haiyan: “You are the first people to come here and help us”",2014-01-25,"http://reliefweb.int/node/632206"
"632188","Typhoon Yolanda/Haiyan Fact sheet #20, Fiscal year (FY) 2014",2014-01-24,"http://reliefweb.int/node/632188"
"632157","Rebuilding in the Philippines",2014-01-24,"http://reliefweb.int/node/632157"
"632152","Typhoon Haiyan (Yolanda) Philippines - Environmental Situational Overview, 14 January 2014",2014-01-24,"http://reliefweb.int/node/632152"
"632142","In cramped conditions, classes resume in the Philippines",2014-01-24,"http://reliefweb.int/node/632142"
"632140","Bringing Relief to a Disaster Zone",2014-01-24,"http://reliefweb.int/node/632140"
